EwE_num,EwE_name,Common,Sciname
34,Shallow-water grouper,coney,cephalopholis fulva
34,Shallow-water grouper,graysby,epinephelus adscensionis
34,Shallow-water grouper,yellowmouth grouper/scamp,mycteroperca spp
"35,36,37",Red snapper (0yr),red snapper,lutjanus campechanus
"35,36,37",Red snapper (0yr),"snapper, red",lutjanus campechanus
"35,36,37",Red snapper (0yr),northern red snapper (0 - 1),lutjanus campechanus
"35,36,37",Red snapper (1-2yr),northern red snapper (1 - 4),lutjanus campechanus
"35,36,37",Red snapper (3+yr),northern red snapper (4+),lutjanus campechanus
38,Vermilion snapper,"snapper, vermilion",rhomboplites aurorubens
38,Vermilion snapper,vermilion snapper,rhomboplites aurorubens
39,Mutton snapper,mutton snapper,lutjanus analis
39,Mutton snapper,"snapper, mutton",lutjanus analis
40,Other snapper,black snapper,apsilus dentatus
40,Other snapper,blackfin snapper,lutjanus buccanella
40,Other snapper,cubera snapper,lutjanus cyanopterus
40,Other snapper,dog snapper,lutjanus jocu
40,Other snapper,gray snapper,lutjanus griseus
40,Other snapper,mahogany snapper,lutjanus mahogoni
40,Other snapper,queen snapper,etelis oculatus
40,Other snapper,silk snapper,lutjanus vivanus
